Season,Player,Team,Position,evo_rank,evd_rank,ppl_rank,pkl_rank,oio_rank,oid_rank,sht_rank,scr_rank,plm_rank,zon_rank,pen_rank,phy_rank,fof_rank,fan_rank,Role,GP,TOI,Goals,Total Assists,Total Points,ixG,GF%,xGF%,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Overall Draft Position,Player ID
2019-2020,Sam Gagner,EDM,F,207.0,408.0,140.0,,98.0,336.0,81.0,349.0,278.0,159.0,372.0,312.0,,244.0,Fourth Line,42,560.66666666667,6,7,13,7.2,39.02,51.67,30,1989-08-10,CAN,CAN,71,201,2007,1,6,8474040.0
2019-2020,Sam Lafferty,PIT,F,251.0,49.0,,,413.0,29.0,215.0,229.0,74.0,387.0,384.0,41.0,66.0,368.0,Fourth Line,50,481.03333333333,6,7,13,5.07,53.85,46.77,24,1995-03-06,USA,USA,73,195,2014,4,113,8478043.0
2019-2020,Sam Reinhart,BUF,F,184.0,237.0,183.0,,241.0,188.0,264.0,119.0,129.0,39.0,84.0,385.0,,98.0,First Line,69,1423.3666666667,22,28,50,16.73,50.53,46.78,23,1995-11-06,CAN,CAN,74,193,2014,1,2,8477933.0
2019-2020,Sam Steel,ANA,F,393.0,338.0,56.0,,249.0,310.0,399.0,405.0,386.0,10.0,255.0,388.0,79.0,308.0,Second Line,65,1010.7,6,16,22,10.42,41.82,47.12,21,1998-02-03,CAN,CAN,71,184,2016,1,30,8479351.0
2019-2020,Sammy Blais,STL,F,289.0,128.0,,,348.0,48.0,282.0,212.0,269.0,125.0,93.0,5.0,,354.0,Fourth Line,40,503.1,6,7,13,5.87,50.00,49.67,23,1996-06-17,CAN,CAN,74,206,2014,6,176,8478104.0
2019-2020,Scott Laughton,PHI,F,223.0,269.0,,48.0,339.0,261.0,269.0,76.0,207.0,377.0,382.0,70.0,50.0,207.0,Third Line,49,715.75,13,14,27,7.29,61.11,46.65,25,1994-05-30,CAN,CAN,73,190,2012,1,20,8476872.0
2019-2020,Scott Sabourin,OTT,F,334.0,365.0,,,407.0,422.0,186.0,332.0,323.0,90.0,427.0,6.0,,416.0,Fringe,35,245.5,2,4,6,2.49,35.00,39.41,27,1992-07-30,CAN,CAN,75,208,-,-,-,8477149.0
2019-2020,Sean Couturier,PHI,F,80.0,178.0,115.0,44.0,85.0,104.0,175.0,65.0,105.0,299.0,169.0,296.0,10.0,42.0,First Line,69,1368.3833333333,22,37,59,21.87,61.80,55.81,26,1992-12-07,USA,CAN,75,211,2011,1,8,8476461.0
2019-2020,Sean Kuraly,BOS,F,322.0,196.0,,143.0,330.0,179.0,147.0,374.0,304.0,407.0,322.0,68.0,57.0,298.0,Fourth Line,69,917.03333333333,6,17,23,7.5,48.21,46.22,26,1993-01-20,USA,USA,74,213,2011,5,133,8476374.0
2019-2020,Sean Monahan,CGY,F,109.0,321.0,69.0,,122.0,355.0,140.0,91.0,159.0,76.0,127.0,301.0,60.0,64.0,First Line,70,1267.1166666667,22,26,48,21.95,44.05,48.43,24,1994-10-12,CAN,CAN,74,196,2013,1,6,8477497.0
2019-2020,Sebastian Aho,CAR,F,31.0,270.0,20.0,7.0,13.0,217.0,103.0,19.0,70.0,50.0,193.0,293.0,148.0,24.0,First Line,68,1320.8166666667,38,28,66,30.95,53.54,53.65,22,1997-07-26,FIN,FIN,72,176,2015,2,35,8478427.0
2019-2020,Sidney Crosby,PIT,F,21.0,315.0,17.0,,21.0,291.0,143.0,87.0,6.0,11.0,113.0,314.0,11.0,16.0,First Line,41,830.91666666667,16,31,47,12.67,50.00,51.47,32,1987-08-07,CAN,CAN,71,200,2005,1,1,8471675.0
2019-2020,Sonny Milano,ANA,F,230.0,325.0,255.0,,129.0,267.0,308.0,190.0,263.0,85.0,164.0,329.0,,286.0,Fourth Line,55,720.33333333333,7,16,23,6.63,44.90,51.67,23,1996-05-12,USA,USA,72,194,2014,1,16,8477947.0
2019-2020,Sonny Milano,CBJ,F,230.0,325.0,255.0,,129.0,267.0,308.0,190.0,263.0,85.0,164.0,329.0,,286.0,Fourth Line,55,720.33333333333,7,16,23,6.63,44.90,51.67,23,1996-05-12,USA,USA,72,194,2014,1,16,8477947.0
2019-2020,Stefan Noesen,PIT,F,280.0,33.0,,,346.0,79.0,78.0,166.0,399.0,271.0,387.0,66.0,,310.0,Fourth Line,40,461.26666666667,7,2,9,7.04,50.00,52.52,26,1993-02-12,USA,USA,73,205,2011,1,21,8476474.0
2019-2020,Stefan Noesen,SJS,F,280.0,33.0,,,346.0,79.0,78.0,166.0,399.0,271.0,387.0,66.0,,310.0,Fourth Line,40,461.26666666667,7,2,9,7.04,50.00,52.52,26,1993-02-12,USA,USA,73,205,2011,1,21,8476474.0
2019-2020,Steven Stamkos,TBL,F,17.0,275.0,8.0,,62.0,258.0,162.0,33.0,5.0,38.0,163.0,237.0,48.0,12.0,First Line,57,1049.95,29,37,66,18.72,60.49,52.67,29,1990-02-07,CAN,CAN,72,182,2008,1,1,8474564.0
2019-2020,T.J. Oshie,WSH,F,187.0,181.0,113.0,,143.0,324.0,355.0,115.0,147.0,261.0,55.0,165.0,87.0,86.0,First Line,69,1260.3666666667,26,23,49,23.1,52.17,48.44,32,1986-12-23,USA,USA,72,187,2005,1,24,8471698.0
2019-2020,Tanner Pearson,VAN,F,180.0,352.0,174.0,173.0,172.0,390.0,72.0,134.0,311.0,263.0,218.0,146.0,,139.0,Second Line,69,1139.3333333333,21,24,45,18.37,40.00,48.39,27,1992-08-10,CAN,CAN,73,201,2012,1,30,8476871.0
2019-2020,Taro Hirose,DET,F,429.0,357.0,243.0,,425.0,358.0,418.0,375.0,427.0,346.0,399.0,290.0,,362.0,Fourth Line,26,326.41666666667,2,5,7,2.03,18.75,36.15,23,1996-06-30,CAN,CAN,70,162,-,-,-,8481433.0
2019-2020,Taylor Hall,ARI,F,18.0,260.0,51.0,,74.0,321.0,21.0,143.0,9.0,149.0,204.0,330.0,,18.0,First Line,65,1246.3,16,36,52,20.39,45.98,50.89,27,1991-11-14,CAN,CAN,73,210,2010,1,1,8475791.0
2019-2020,Taylor Hall,NJD,F,18.0,260.0,51.0,,74.0,321.0,21.0,143.0,9.0,149.0,204.0,330.0,,18.0,First Line,65,1246.3,16,36,52,20.39,45.98,50.89,27,1991-11-14,CAN,CAN,73,210,2010,1,1,8475791.0
2019-2020,Teddy Blueger,PIT,F,358.0,55.0,,32.0,388.0,13.0,305.0,180.0,402.0,409.0,349.0,125.0,123.0,290.0,Second Line,69,1091.0,9,13,22,9.45,48.00,49.06,25,1994-08-15,LVA,LVA,72,185,2012,2,52,8476927.0
2019-2020,Teuvo Teravainen,CAR,F,62.0,219.0,7.0,5.0,15.0,108.0,204.0,269.0,21.0,91.0,251.0,410.0,,53.0,First Line,68,1305.1333333333,15,48,63,18.86,58.82,54.57,24,1994-09-11,FIN,FIN,71,191,2012,1,18,8476882.0
2019-2020,Tim Schaller,LAK,F,364.0,314.0,,126.0,379.0,376.0,286.0,329.0,356.0,401.0,222.0,122.0,,396.0,Fourth Line,53,612.85,5,1,6,5.53,28.57,42.88,28,1990-11-16,USA,USA,74,204,-,-,-,8477213.0
2019-2020,Tim Schaller,VAN,F,364.0,314.0,,126.0,379.0,376.0,286.0,329.0,356.0,401.0,222.0,122.0,,396.0,Fourth Line,53,612.85,5,1,6,5.53,28.57,42.88,28,1990-11-16,USA,USA,74,204,-,-,-,8477213.0
2019-2020,Timo Meier,SJS,F,8.0,259.0,98.0,,34.0,304.0,12.0,17.0,38.0,207.0,79.0,106.0,,59.0,Second Line,70,1209.8,22,27,49,21.46,40.82,52.61,22,1996-10-08,CHE,CHE,73,220,2015,1,9,8478414.0
2019-2020,Tobias Rieder,CGY,F,302.0,99.0,,130.0,323.0,248.0,102.0,408.0,228.0,340.0,57.0,245.0,,359.0,Fourth Line,55,609.6,4,6,10,9.93,28.13,50.21,26,1993-01-10,DEU,DEU,71,189,2011,4,114,8476356.0
2019-2020,Tom Kuhnhackl,NYI,F,392.0,384.0,,176.0,373.0,425.0,366.0,292.0,406.0,278.0,82.0,124.0,,352.0,Fourth Line,28,316.36666666667,3,3,6,2.41,36.84,38.52,27,1992-01-21,DEU,DEU,74,196,2010,4,110,8475832.0
2019-2020,Tom Wilson,WSH,F,135.0,377.0,152.0,108.0,103.0,401.0,201.0,145.0,190.0,146.0,408.0,25.0,,103.0,First Line,68,1242.4666666667,21,23,44,20.32,45.00,49.68,25,1994-03-29,CAN,CAN,76,220,2012,1,16,8476880.0
2019-2020,Tomas Hertl,SJS,F,44.0,226.0,83.0,21.0,39.0,260.0,156.0,59.0,51.0,236.0,170.0,313.0,38.0,56.0,First Line,48,885.36666666667,16,20,36,17.6,43.48,56.1,25,1993-11-12,CZE,CZE,75,215,2012,1,17,8476881.0
2019-2020,Tomas Nosek,VGK,F,169.0,83.0,,138.0,117.0,80.0,93.0,204.0,276.0,152.0,205.0,139.0,80.0,330.0,Fourth Line,67,777.58333333333,8,7,15,10.48,46.00,54.64,27,1992-09-01,CZE,CZE,75,205,-,-,-,8477931.0
2019-2020,Tomas Tatar,MTL,F,24.0,143.0,143.0,,1.0,112.0,95.0,132.0,31.0,334.0,393.0,220.0,,80.0,Second Line,68,1108.0,22,39,61,15.24,55.79,59.97,28,1990-12-01,SVK,SVK,70,173,2009,2,60,8475193.0
2019-2020,Travis Boyd,WSH,F,198.0,57.0,225.0,,275.0,31.0,416.0,218.0,24.0,153.0,158.0,320.0,160.0,320.0,Fourth Line,24,282.06666666667,3,7,10,2.73,75.00,51.37,25,1993-09-14,USA,USA,72,190,2011,6,177,8476329.0
2019-2020,Travis Konecny,PHI,F,57.0,264.0,159.0,,95.0,244.0,85.0,14.0,173.0,227.0,35.0,240.0,,78.0,Second Line,66,1109.05,24,37,61,15.26,51.90,54.97,22,1997-03-11,CAN,CAN,70,175,2015,1,24,8478439.0
2019-2020,Travis Zajac,NJD,F,380.0,307.0,,29.0,253.0,370.0,419.0,347.0,389.0,394.0,341.0,266.0,14.0,252.0,Second Line,69,1179.6,9,16,25,9.84,40.00,47.06,34,1985-05-13,CAN,CAN,74,185,2004,1,20,8471233.0
2019-2020,Trevor Lewis,LAK,F,160.0,244.0,,64.0,224.0,194.0,51.0,275.0,156.0,206.0,156.0,150.0,,302.0,Fourth Line,56,666.45,6,6,12,9.2,43.14,53.45,32,1987-01-08,USA,USA,73,201,2006,1,17,8473453.0
2019-2020,Trevor Moore,LAK,F,292.0,257.0,,24.0,308.0,262.0,158.0,209.0,364.0,200.0,129.0,142.0,,344.0,Fourth Line,42,541.71666666667,6,4,10,7.54,43.59,45.04,24,1995-03-31,USA,USA,70,195,-,-,-,8479675.0
2019-2020,Trevor Moore,TOR,F,292.0,257.0,,24.0,308.0,262.0,158.0,209.0,364.0,200.0,129.0,142.0,,344.0,Fourth Line,42,541.71666666667,6,4,10,7.54,43.59,45.04,24,1995-03-31,USA,USA,70,195,-,-,-,8479675.0
2019-2020,Troy Terry,ANA,F,305.0,154.0,179.0,,190.0,201.0,377.0,396.0,149.0,35.0,4.0,430.0,,319.0,Third Line,47,682.36666666667,4,11,15,7.64,44.44,50.98,21,1997-09-10,USA,USA,72,185,2015,5,148,8478873.0
2019-2020,Tyler Bertuzzi,DET,F,205.0,380.0,210.0,,243.0,332.0,289.0,96.0,211.0,189.0,69.0,251.0,,138.0,First Line,71,1371.3166666667,21,27,48,18.33,47.37,47.35,24,1995-02-24,CAN,CAN,73,186,2013,2,58,8477479.0
2019-2020,Tyler Bozak,STL,F,262.0,89.0,125.0,45.0,250.0,61.0,276.0,200.0,291.0,226.0,262.0,331.0,22.0,195.0,Third Line,67,1026.15,13,16,29,10.62,55.56,52.11,33,1986-03-19,CAN,CAN,73,187,-,-,-,8475098.0
2019-2020,Tyler Ennis,EDM,F,76.0,205.0,71.0,,213.0,264.0,79.0,55.0,91.0,234.0,51.0,158.0,,185.0,Third Line,70,1029.6,16,21,37,18.51,47.37,51.17,29,1989-10-06,CAN,CAN,69,160,2008,1,26,8474589.0
2019-2020,Tyler Ennis,OTT,F,76.0,205.0,71.0,,213.0,264.0,79.0,55.0,91.0,234.0,51.0,158.0,,185.0,Third Line,70,1029.6,16,21,37,18.51,47.37,51.17,29,1989-10-06,CAN,CAN,69,160,2008,1,26,8474589.0
2019-2020,Tyler Johnson,TBL,F,96.0,279.0,212.0,,75.0,214.0,141.0,41.0,243.0,197.0,304.0,250.0,108.0,171.0,Third Line,65,945.3,14,17,31,12.17,66.07,53.67,29,1990-07-29,USA,USA,68,185,-,-,-,8474870.0
2019-2020,Tyler Motte,VAN,F,348.0,211.0,,61.0,378.0,429.0,258.0,295.0,337.0,419.0,144.0,12.0,,314.0,Fourth Line,34,445.96666666667,4,4,8,2.91,29.63,39.36,24,1995-03-10,USA,USA,70,192,2013,4,121,8477353.0
2019-2020,Tyler Pitlick,PHI,F,285.0,56.0,,69.0,386.0,90.0,214.0,189.0,238.0,339.0,121.0,67.0,,296.0,Fourth Line,63,759.11666666667,8,12,20,7.49,56.36,47.24,27,1991-11-01,USA,USA,74,200,2010,2,31,8475752.0
2019-2020,Tyler Seguin,DAL,F,47.0,318.0,9.0,,78.0,255.0,31.0,172.0,59.0,106.0,220.0,229.0,9.0,23.0,First Line,69,1321.2666666667,17,33,50,21.97,45.45,52.94,27,1992-01-31,CAN,CAN,73,205,2010,1,2,8475794.0
2019-2020,Tyler Toffoli,VAN,F,32.0,249.0,156.0,154.0,56.0,137.0,9.0,73.0,81.0,237.0,239.0,324.0,,105.0,Second Line,68,1145.7,24,20,44,21.05,54.93,56.07,27,1992-04-24,CAN,CAN,72,203,2010,2,47,8475726.0
2019-2020,Tyler Toffoli,LAK,F,32.0,249.0,156.0,154.0,56.0,137.0,9.0,73.0,81.0,237.0,239.0,324.0,,105.0,Second Line,68,1145.7,24,20,44,21.05,54.93,56.07,27,1992-04-24,CAN,CAN,72,203,2010,2,47,8475726.0
2019-2020,Tyson Jost,COL,F,225.0,94.0,221.0,,263.0,99.0,128.0,270.0,215.0,277.0,9.0,236.0,175.0,262.0,Fourth Line,67,855.4,8,15,23,11.05,65.31,51.69,21,1998-03-14,CAN,CAN,71,187,2016,1,10,8479370.0
2019-2020,Valeri Nichushkin,COL,F,249.0,17.0,253.0,,148.0,9.0,184.0,240.0,344.0,358.0,27.0,151.0,,276.0,Third Line,65,914.73333333333,13,14,27,11.5,71.93,58.91,24,1995-03-04,RUS,RUS,76,210,2013,1,10,8477501.0
2019-2020,Valtteri Filppula,DET,F,409.0,404.0,260.0,165.0,390.0,389.0,427.0,360.0,334.0,269.0,223.0,399.0,142.0,328.0,Second Line,70,1162.8666666667,6,15,21,7.87,28.92,41.79,35,1984-03-20,FIN,FIN,72,189,2002,3,95,8470047.0
2019-2020,Victor Olofsson,BUF,F,337.0,348.0,61.0,,344.0,230.0,328.0,361.0,256.0,55.0,213.0,426.0,,74.0,First Line,54,992.71666666667,20,22,42,12.17,53.85,45.67,24,1995-07-18,SWE,SWE,71,181,2014,7,181,8478109.0
2019-2020,Victor Rask,MIN,F,330.0,150.0,,,200.0,102.0,362.0,316.0,330.0,115.0,141.0,249.0,149.0,379.0,Fourth Line,43,450.73333333333,5,8,13,2.97,60.61,52.83,26,1993-03-01,SWE,SWE,74,199,2011,2,42,8476437.0
2019-2020,Viktor Arvidsson,NSH,F,39.0,375.0,158.0,,63.0,352.0,25.0,9.0,277.0,87.0,112.0,381.0,,91.0,Second Line,57,923.51666666667,15,13,28,13.65,54.72,49.77,26,1993-04-08,SWE,SWE,70,185,2014,4,112,8478042.0
2019-2020,Vincent Trocheck,CAR,F,157.0,303.0,154.0,,182.0,306.0,97.0,338.0,64.0,208.0,280.0,120.0,59.0,94.0,Second Line,62,1036.9833333333,11,27,38,13.85,47.83,48.39,26,1993-07-11,USA,USA,71,184,2011,3,64,8476389.0
2019-2020,Vincent Trocheck,FLA,F,157.0,303.0,154.0,,182.0,306.0,97.0,338.0,64.0,208.0,280.0,120.0,59.0,94.0,Second Line,62,1036.9833333333,11,27,38,13.85,47.83,48.39,26,1993-07-11,USA,USA,71,184,2011,3,64,8476389.0
2019-2020,Vinnie Hinostroza,ARI,F,194.0,190.0,,103.0,149.0,259.0,63.0,320.0,229.0,371.0,54.0,265.0,,210.0,Fourth Line,68,891.23333333333,5,17,22,8.78,52.63,49.42,25,1994-04-03,USA,USA,70,183,2012,6,169,8476994.0
2019-2020,Vladislav Kamenev,COL,F,346.0,4.0,151.0,,380.0,76.0,341.0,422.0,56.0,199.0,284.0,131.0,,406.0,Fringe,38,341.1,1,7,8,2.57,44.44,45.39,23,1996-08-12,RUS,RUS,74,194,2014,2,42,8477973.0
2019-2020,Vladislav Namestnikov,COL,F,335.0,283.0,199.0,155.0,310.0,364.0,345.0,264.0,361.0,264.0,359.0,101.0,,184.0,Third Line,65,978.78333333333,17,14,31,13.87,40.00,46.36,26,1992-11-22,RUS,RUS,72,179,2011,1,27,8476480.0
2019-2020,Vladislav Namestnikov,NYR,F,335.0,283.0,199.0,155.0,310.0,364.0,345.0,264.0,361.0,264.0,359.0,101.0,,184.0,Third Line,65,978.78333333333,17,14,31,13.87,40.00,46.36,26,1992-11-22,RUS,RUS,72,179,2011,1,27,8476480.0
2019-2020,Vladislav Namestnikov,OTT,F,335.0,283.0,199.0,155.0,310.0,364.0,345.0,264.0,361.0,264.0,359.0,101.0,,184.0,Third Line,65,978.78333333333,17,14,31,13.87,40.00,46.36,26,1992-11-22,RUS,RUS,72,179,2011,1,27,8476480.0
2019-2020,Warren Foegele,CAR,F,67.0,207.0,,54.0,27.0,166.0,89.0,124.0,104.0,154.0,182.0,167.0,,260.0,Third Line,68,932.25,13,17,30,15.86,51.95,56.08,23,1996-04-01,CAN,CAN,74,198,2014,3,67,8477998.0
2019-2020,Wayne Simmonds,BUF,F,344.0,308.0,110.0,,305.0,360.0,283.0,384.0,320.0,312.0,363.0,79.0,,208.0,Third Line,68,1014.7,8,17,25,16.56,37.93,45.67,31,1988-08-26,CAN,CAN,74,184,2007,2,61,8474190.0
2019-2020,Wayne Simmonds,NJD,F,344.0,308.0,110.0,,305.0,360.0,283.0,384.0,320.0,312.0,363.0,79.0,,208.0,Third Line,68,1014.7,8,17,25,16.56,37.93,45.67,31,1988-08-26,CAN,CAN,74,184,2007,2,61,8474190.0
2019-2020,William Carrier,VGK,F,75.0,71.0,,,76.0,64.0,52.0,178.0,108.0,84.0,337.0,4.0,,371.0,Fourth Line,71,700.93333333333,7,12,19,9.37,50.85,55.21,24,1994-12-20,CAN,CAN,74,218,2013,2,57,8477478.0
2019-2020,William Karlsson,VGK,F,73.0,90.0,101.0,26.0,22.0,139.0,223.0,104.0,71.0,223.0,165.0,359.0,72.0,90.0,First Line,63,1188.45,15,31,46,17.44,53.75,57.16,26,1993-01-08,SWE,SWE,72,190,2011,2,53,8476448.0
2019-2020,William Nylander,TOR,F,30.0,349.0,127.0,,11.0,307.0,44.0,62.0,80.0,34.0,87.0,422.0,71.0,79.0,First Line,68,1238.1833333333,31,28,59,21.45,51.06,53.57,23,1996-05-01,CAN,SWE,72,204,2014,1,8,8477939.0
2019-2020,Yakov Trenin,NSH,F,141.0,37.0,,,282.0,122.0,119.0,246.0,37.0,309.0,282.0,33.0,,349.0,Fourth Line,21,204.43333333333,2,4,6,2.35,52.94,53.09,22,1997-01-13,RUS,RUS,74,201,2015,2,55,8478508.0
2019-2020,Yanni Gourde,TBL,F,171.0,120.0,,19.0,87.0,131.0,226.0,238.0,145.0,296.0,277.0,204.0,,197.0,Third Line,70,984.58333333333,10,20,30,11.09,44.78,54.78,27,1991-12-15,CAN,CAN,69,174,-,-,-,8476826.0
2019-2020,Zach Aston-Reese,PIT,F,306.0,10.0,,67.0,360.0,5.0,96.0,342.0,339.0,408.0,398.0,37.0,,266.0,Third Line,57,822.38333333333,6,7,13,9.74,53.85,54.89,25,1994-08-10,USA,USA,73,205,-,-,-,
2019-2020,Zach Hyman,TOR,F,77.0,392.0,187.0,71.0,7.0,393.0,221.0,72.0,200.0,202.0,292.0,235.0,94.0,115.0,First Line,51,973.9,21,16,37,18.49,53.01,52.86,27,1992-06-09,CAN,CAN,73,211,2010,5,123,8475786.0
2019-2020,Zach Parise,MIN,F,176.0,165.0,63.0,28.0,206.0,170.0,112.0,139.0,242.0,129.0,25.0,371.0,,62.0,Second Line,69,1186.5833333333,25,21,46,22.64,47.50,52.77,35,1984-07-28,USA,USA,71,195,2003,1,17,8470610.0
2019-2020,Zach Sanford,STL,F,159.0,63.0,,,259.0,77.0,207.0,46.0,220.0,283.0,297.0,115.0,,206.0,Third Line,58,796.51666666667,16,14,30,10.8,59.42,50.22,24,1994-11-09,USA,USA,76,206,2013,2,61,
2019-2020,Zack Kassian,EDM,F,199.0,426.0,,,146.0,377.0,299.0,92.0,231.0,121.0,418.0,59.0,,241.0,Second Line,59,924.06666666667,15,19,34,11.26,53.19,49.13,28,1991-01-24,CAN,CAN,75,211,2009,1,13,8475178.0
2019-2020,Zack Smith,CHI,F,402.0,358.0,,66.0,382.0,357.0,387.0,391.0,329.0,344.0,410.0,62.0,102.0,358.0,Fourth Line,50,589.33333333333,4,7,11,3.4,44.83,40.33,31,1988-04-05,CAN,CAN,74,208,2008,3,79,8474250.0
2019-2020,Zemgus Girgensons,BUF,F,378.0,144.0,,125.0,396.0,34.0,337.0,294.0,391.0,403.0,225.0,88.0,,357.0,Third Line,69,951.76666666667,12,7,19,10.43,46.00,47.95,25,1994-01-05,LVA,LVA,74,200,2012,1,14,8476878.0
